filename,genre,title,artist,tempo,keys,loudness,filepath
blues.00000.wav,blues,"One Bourbon, One Scotch, One Beer",John Lee Hooker,123.046875,"{'G major': 11.35, 'G minor': 9.18, 'C major': 9.16}",-44.27,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00000.wav
blues.00001.wav,blues,I'm In The Mood,John Lee Hooker,67.99958881578948,"{'G major': 9.67, 'G minor': 9.22, 'C major': 8.04}",-50.3,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00001.wav
blues.00002.wav,blues,Think Twice Before You Go,John Lee Hooker,161.4990234375,"{'E minor': 10.58, 'E major': 9.3, 'A minor': 9.2}",-40.07,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00002.wav
blues.00003.wav,blues,I'm Bad Like Jesse James,John Lee Hooker,63.02400914634146,"{'E minor': 9.77, 'E major': 8.45, 'B major': 7.83}",-53.16,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00003.wav
blues.00004.wav,blues,Walkin' The Boogie,John Lee Hooker,135.99917763157896,"{'A# major': 10.19, 'A# minor': 10.09, 'D minor': 9.1}",-46.26,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00004.wav
blues.00005.wav,blues,Sugar Mama,John Lee Hooker,69.83741554054055,"{'D major': 10.41, 'G major': 10.22, 'B minor': 8.78}",-50.91,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00005.wav
blues.00006.wav,blues,Dreamin’ Blues,John Lee Hooker,71.77734375,"{'F major': 12.61, 'F minor': 9.13, 'A minor': 8.77}",-53.72,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00006.wav
blues.00007.wav,blues,Ground Hog Blues,John Lee Hooker,92.28515625,"{'A# minor': 11.88, 'A# major': 11.81, 'F major': 7.64}",-49.86,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00007.wav
blues.00008.wav,blues,Shake It Baby,John Lee Hooker,83.35433467741936,"{'F major': 10.14, 'C major': 9.68, 'F minor': 7.73}",-41.13,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00008.wav
blues.00009.wav,blues,It's My Own Fault,John Lee Hooker,80.74951171875,"{'G major': 10.51, 'G minor': 7.74, 'D minor': 6.95}",-51.41,/Users/datoapanta/Desktop/mma_2024/dataset/data/gtzan/genres/blues/blues.00009.wav
